length=1 | speed=0.05
length=4 | speed=0.05
length=9 | speed=0.05
length=16 | speed=0.05
length=25 | speed=0.05
length=36 | speed=0.05
length=49 | speed=0.05
length=64 | speed=0.05
length=49 | speed=0.05
length=36 | speed=0.05
length=25 | speed=0.05
length=16 | speed=0.05
length=9 | speed=0.05
length=4 | speed=0.05
length=1 | speed=0.05
length=4 | speed=0.05
length=9 | speed=0.05
length=16 | speed=0.05
length=25 | speed=0.05
length=36 | speed=0.05
length=49 | speed=0.05
length=64 | speed=0.05
length=49 | speed=0.05
length=36 | speed=0.05
length=25 | speed=0.05
length=16 | speed=0.05
length=9 | speed=0.05
length=4 | speed=0.05
length=1 | speed=0.05
length=4 | speed=0.05
length=9 | speed=0.05
length=16 | speed=0.05
length=25 | speed=0.05
length=36 | speed=0.05
length=49 | speed=0.05
length=64 | speed=0.05
length=49 | speed=0.05
length=36 | speed=0.05
length=25 | speed=0.05
length=16 | speed=0.05
length=9 | speed=0.05
length=4 | speed=0.05
length=1 | speed=0.05
length=4 | speed=0.05
length=9 | speed=0.05
length=16 | speed=0.05
length=25 | speed=0.05
length=36 | speed=0.05
length=49 | speed=0.05
length=64 | speed=0.05
length=49 | speed=0.05
length=36 | speed=0.05
length=25 | speed=0.05
length=16 | speed=0.05
length=9 | speed=0.05
length=4 | speed=0.05
length=1 | speed=0.05
length=4 | speed=0.05
length=9 | speed=0.05
length=16 | speed=0.05
length=25 | speed=0.05
length=36 | speed=0.05
length=49 | speed=0.05
length=64 | speed=0.05
length=49 | speed=0.05
length=36 | speed=0.05
length=25 | speed=0.05
length=16 | speed=0.05
length=9 | speed=0.05
length=4 | speed=0.05
length=1 | speed=0.05
length=4 | speed=0.05
length=9 | speed=0.05
length=16 | speed=0.05
length=25 | speed=0.05
length=36 | speed=0.05
length=49 | speed=0.05
length=64 | speed=0.05
length=49 | speed=0.05
length=36 | speed=0.05
length=25 | speed=0.05
length=16 | speed=0.05
length=9 | speed=0.05
length=4 | speed=0.05
length=1 | speed=0.05
length=4 | speed=0.05
length=9 | speed=0.05
length=16 | speed=0.05
length=25 | speed=0.05
length=36 | speed=0.05
length=49 | speed=0.05
length=64 | speed=0.05
length=49 | speed=0.05
length=36 | speed=0.05
length=25 | speed=0.05
length=16 | speed=0.05
length=9 | speed=0.05
length=4 | speed=0.05
length=1 | speed=0.05
length=4 | speed=0.05
length=9 | speed=0.05
length=16 | speed=0.05
length=25 | speed=0.05
length=36 | speed=0.05
length=49 | speed=0.05
length=64 | speed=0.05
length=49 | speed=0.05
length=36 | speed=0.05
length=25 | speed=0.05
length=16 | speed=0.05
length=9 | speed=0.05
length=4 | speed=0.05
length=1 | speed=0.05
length=4 | speed=0.05
length=9 | speed=0.05
length=16 | speed=0.05
length=25 | speed=0.05
length=36 | speed=0.05
length=49 | speed=0.05
length=64 | speed=0.05
length=49 | speed=0.05
length=36 | speed=0.05
length=25 | speed=0.05
length=16 | speed=0.05
length=9 | speed=0.05
length=4 | speed=0.05
length=1 | speed=0.05
length=4 | speed=0.05
length=9 | speed=0.05
length=16 | speed=0.05
length=25 | speed=0.05
length=36 | speed=0.05
length=49 | speed=0.05
length=64 | speed=0.05
length=49 | speed=0.05
length=36 | speed=0.05
length=25 | speed=0.05
length=16 | speed=0.05
length=9 | speed=0.05
length=4 | speed=0.05
